股票代號,股票名稱,本益比,殖利率(%),股價淨值比
"4148","全宇生技-KY","29.55","2.17","1.13"
"4155","訊映","130.94","1.43","1.26"
"4164","承業醫","20.95","4.92","1.08"
"4190","佐登-KY","","2.23","1.47"
"4306","炎洲","10.59","5.75","0.85"
"4414","如興","","","0.76"
"4426","利勤","","","0.74"
"4438","廣越","28.40","5.22","1.28"
"4439","冠星-KY","25.48","4.00","1.18"
"4440","宜新實業","14.05","4.21","1.21"
"4526","東台","","0.61","1.68"
"4532","瑞智","14.24","3.94","1.24"
"4536","拓凱","13.56","4.25","2.13"
"4540","全球傳動","","","1.82"
"4545","銘鈺","22.69","2.12","1.80"
"4551","智伸科","21.26","2.28","1.51"
"4552","力達-KY","11.19","4.59","0.45"
"4555","氣立","","1.20","1.02"
"4557","永新-KY","13.08","4.86","2.41"
"4560","強信-KY","22.28","2.81","1.32"
"4562","穎漢","","","6.10"
"4564","元翎","","","1.09"
"4566","時碩工業","31.58","1.88","1.65"
"4569","六方科-KY","34.11","2.18","2.28"
"4571","鈞興-KY","31.65","1.22","4.64"
"4572","駐龍","22.46","3.33","2.89"
"4576","大銀微系統","587.50","0.07","4.45"
"4581","光隆精密-KY","10.67","6.86","1.61"
